atomicNumber,symbol,name,atomicMass,electronegativity,group,period,type
1,H,Hydrogen,1.008,2.20,1,1,Non-metal
2,He,Helium,4.0026,0.00,18,1,Noble Gas
3,Li,Lithium,6.94,0.98,1,2,Alkali Metal
4,Be,Beryllium,9.0122,1.57,2,2,Alkaline Earth Metal
5,B,Boron,10.81,2.04,13,2,Metalloid
6,C,Carbon,12.011,2.55,14,2,Non-metal
7,N,Nitrogen,14.007,3.04,15,2,Non-metal
8,O,Oxygen,16.00,3.44,16,2,Non-metal
9,F,Fluorine,19.00,3.98,17,2,Halogen
10,Ne,Neon,20.18,0.00,18,2,Noble Gas
11,Na,Sodium,22.99,0.93,1,3,Alkali Metal
12,Mg,Magnesium,24.31,1.31,2,3,Alkaline Earth Metal
13,Al,Aluminum,26.98,1.61,13,3,Post-transition Metal
14,Si,Silicon,28.09,1.90,14,3,Metalloid
15,P,Phosphorus,30.97,2.19,15,3,Non-metal
16,S,Sulfur,32.07,2.58,16,3,Non-metal
17,Cl,Chlorine,35.45,3.16,17,3,Halogen
18,Ar,Argon,39.95,0.00,18,3,Noble Gas
19,K,Potassium,39.10,0.82,1,4,Alkali Metal
20,Ca,Calcium,40.08,1.00,2,4,Alkaline Earth Metal
21,Sc,Scandium,44.96,1.36,3,4,Transition Metal
22,Ti,Titanium,47.87,1.54,4,4,Transition Metal
23,V,Vanadium,50.94,1.63,5,4,Transition Metal
24,Cr,Chromium,52.00,1.66,6,4,Transition Metal
25,Mn,Manganese,54.94,1.55,7,4,Transition Metal
26,Fe,Iron,55.85,1.83,8,4,Transition Metal
27,Co,Cobalt,58.93,1.88,9,4,Transition Metal
28,Ni,Nickel,58.69,1.91,10,4,Transition Metal
29,Cu,Copper,63.55,1.90,11,4,Transition Metal
30,Zn,Zinc,65.38,1.65,12,4,Transition Metal
31,Ga,Gallium,69.72,1.81,13,4,Post-transition Metal
32,Ge,Germanium,72.63,2.01,14,4,Metalloid
33,As,Arsenic,74.92,2.18,15,4,Metalloid
34,Se,Selenium,78.97,2.55,16,4,Non-metal
35,Br,Bromine,79.90,2.96,17,4,Halogen
36,Kr,Krypton,83.80,3.00,18,4,Noble Gas
37,Rb,Rubidium,85.47,0.82,1,5,Alkali Metal
38,Sr,Strontium,87.62,0.95,2,5,Alkaline Earth Metal
39,Y,Yttrium,88.91,1.22,3,5,Transition Metal
40,Zr,Zirconium,91.22,1.33,4,5,Transition Metal
41,Nb,Niobium,92.91,1.6,5,5,Transition Metal
42,Mo,Molybdenum,95.95,2.16,6,5,Transition Metal
43,Tc,Technetium,98.0,1.9,7,5,Transition Metal
44,Ru,Ruthenium,101.07,2.2,8,5,Transition Metal
45,Rh,Rhodium,102.91,2.28,9,5,Transition Metal
46,Pd,Palladium,106.42,2.20,10,5,Transition Metal
47,Ag,Silver,107.87,1.93,11,5,Transition Metal
48,Cd,Cadmium,112.41,1.69,12,5,Transition Metal
49,In,Indium,114.82,1.78,13,5,Post-transition Metal
50,Sn,Tin,118.71,1.96,14,5,Post-transition Metal
51,Sb,Antimony,121.76,2.05,15,5,Metalloid
52,Te,Tellurium,127.60,2.1,16,5,Metalloid
53,I,Iodine,126.90,2.66,17,5,Halogen
54,Xe,Xenon,131.29,2.6,18,5,Noble Gas
55,Cs,Cesium,132.91,0.79,1,6,Alkali Metal
56,Ba,Barium,137.33,0.89,2,6,Alkaline Earth Metal
57,La,Lanthanum,138.91,1.10,3,6,Lanthanide
58,Ce,Cerium,140.12,1.12,3,6,Lanthanide
59,Pr,Praseodymium,140.91,1.13,3,6,Lanthanide
60,Nd,Neodymium,144.24,1.14,3,6,Lanthanide
61,Pm,Promethium,145.0,1.13,3,6,Lanthanide
62,Sm,Samarium,150.36,1.17,3,6,Lanthanide
63,Eu,Europium,151.96,1.2,3,6,Lanthanide
64,Gd,Gadolinium,157.25,1.2,3,6,Lanthanide
65,Tb,Terbium,158.93,1.2,3,6,Lanthanide
66,Dy,Dysprosium,162.50,1.22,3,6,Lanthanide
67,Ho,Holmium,164.93,1.23,3,6,Lanthanide
68,Er,Erbium,167.26,1.24,3,6,Lanthanide
69,Tm,Thulium,168.93,1.25,3,6,Lanthanide
70,Yb,Ytterbium,173.05,1.1,3,6,Lanthanide
71,Lu,Lutetium,174.97,1.27,3,6,Lanthanide
72,Hf,Hafnium,178.49,1.3,4,6,Transition Metal
73,Ta,Tantalum,180.95,1.5,5,6,Transition Metal
74,W,Tungsten,183.84,2.36,6,6,Transition Metal
75,Re,Rhenium,186.21,1.9,7,6,Transition Metal
76,Os,Osmium,190.23,2.2,8,6,Transition Metal
77,Ir,Iridium,192.22,2.20,9,6,Transition Metal
78,Pt,Platinum,195.08,2.28,10,6,Transition Metal
79,Au,Gold,196.97,2.54,11,6,Transition Metal
80,Hg,Mercury,200.59,2.00,12,6,Transition Metal
81,Tl,Thallium,204.38,1.62,13,6,Post-transition Metal
82,Pb,Lead,207.2,1.87,14,6,Post-transition Metal
83,Bi,Bismuth,208.98,2.02,15,6,Post-transition Metal
84,Po,Polonium,209.0,2.0,16,6,Metalloid
85,At,Astatine,210.0,2.2,17,6,Metalloid
86,Rn,Radon,222.0,2.2,18,6,Noble Gas
87,Fr,Francium,223.0,0.7,1,7,Alkali Metal
88,Ra,Radium,226.0,0.9,2,7,Alkaline Earth Metal
89,Ac,Actinium,227.0,1.1,3,7,Actinide
90,Th,Thorium,232.04,1.3,3,7,Actinide
91,Pa,Protactinium,231.04,1.5,3,7,Actinide
92,U,Uranium,238.03,1.38,3,7,Actinide
93,Np,Neptunium,237.0,1.36,3,7,Actinide
94,Pu,Plutonium,244.0,1.28,3,7,Actinide
95,Am,Americium,243.0,1.3,3,7,Actinide
96,Cm,Curium,247.0,1.3,3,7,Actinide
97,Bk,Berkelium,247.0,1.3,3,7,Actinide
98,Cf,Californium,251.0,1.3,3,7,Actinide
99,Es,Einsteinium,252.0,1.3,3,7,Actinide
100,Fm,Fermium,257.0,1.3,3,7,Actinide
101,Md,Mendelevium,258.0,1.3,3,7,Actinide
102,No,Nobelium,259.0,1.3,3,7,Actinide
103,Lr,Lawrencium,262.0,1.3,3,7,Actinide
104,Rf,Rutherfordium,267.0,0.0,4,7,Transition Metal
105,Db,Dubnium,268.0,0.0,5,7,Transition Metal
106,Sg,Seaborgium,269.0,0.0,6,7,Transition Metal
107,Bh,Bohrium,270.0,0.0,7,7,Transition Metal
108,Hs,Hassium,269.0,0.0,8,7,Transition Metal
109,Mt,Meitnerium,278.0,0.0,9,7,Transition Metal
110,Ds,Darmstadtium,281.0,0.0,10,7,Transition Metal
111,Rg,Roentgenium,282.0,0.0,11,7,Transition Metal
112,Cn,Copernicium,285.0,0.0,12,7,Transition Metal
113,Nh,Nihonium,286.0,0.0,13,7,Post-transition Metal
114,Fl,Flerovium,289.0,0.0,14,7,Post-transition Metal
115,Mc,Moscovium,290.0,0.0,15,7,Post-transition Metal
116,Lv,Livermorium,293.0,0.0,16,7,Post-transition Metal
117,Ts,Tennessine,294.0,0.0,17,7,Metalloid
118,Og,Oganesson,294.0,0.0,18,7,Noble Gas